时间t/h,Q/(m3/s-1)
18,174.0
19,174.0
20,340.0
21,340.0
22,340.0
23,850.0
24,850.0
25,850.0
26,1920.0
27,1920.0
28,1920.0
29,1450.0
30,1450.0
31,1450.0
32,1110.0
33,1110.0
34,1110.0
35,900.0
36,900.0
37,900.0
38,760.0
39,760.0
40,760.0
41,610.0
42,610.0
43,610.0
44,460.0
45,460.0
46,460.0
47,360.0
48,360.0
49,360.0
50,290.0
51,290.0
