时间t/h,Q/(m3/s-1)
18,174.0
19,261.4
20,302.7
21,340.0
22,415.5
23,571.5
24,850.0
25,1259.1
26,1670.1
27,1920.0
28,1896.8
29,1692.5
30,1450.0
31,1282.2
32,1181.4
33,1110.0
34,1037.9
35,965.3
36,900.0
37,847.3
38,802.9
39,760.0
40,713.2
41,662.7
42,610.0
43,556.9
44,506.0
45,460.0
46,420.9
47,388.1
48,360.0
49,335.3
50,312.4
51,290.0
