时间t/h,Q/(m3/s-1)
18,174.0
19,229.3
20,284.7
21,340.0
22,510.0
23,680.0
24,850.0
25,1206.7
26,1563.3
27,1920.0
28,1763.3
29,1606.7
30,1450.0
31,1336.7
32,1223.3
33,1110.0
34,1040.0
35,970.0
36,900.0
37,853.3
38,806.7
39,760.0
40,710.0
41,660.0
42,610.0
43,560.0
44,510.0
45,460.0
46,426.7
47,393.3
48,360.0
49,336.7
50,313.3
51,290.0
