时间t/h,Q/(m3/s-1)
18,174.0
19,3279.1
20,1869.5
21,340.0
22,-167.4
23,170.3
24,850.0
25,1467.4
26,1829.3
27,1920.0
28,1821.2
29,1637.4
30,1450.0
31,1299.5
32,1191.0
33,1110.0
34,1039.0
35,968.7
36,900.0
37,840.1
38,794.3
39,760.0
40,726.0
41,678.1
42,610.0
43,532.0
44,472.1
45,460.0
46,495.0
47,508.9
48,360.0
49,-69.0
50,-542.1
51,290.0
