时间t/h,入库流量Q/(m³·s⁻¹),下泄流量q/(m³·s⁻¹),水库存水量V/万m³,水库水位Z/m
18.0,174.0,173.9,6450.0,38.0
19.0,229.0,177.9875265292139,6477.541622603257,38.02185843063751
20.0,285.0,189.6891780310471,6556.386974968553,38.0844341071179
21.0,340.0,207.80122414086983,6678.97603450267,38.181727011510056
22.0,510.0,239.89980218923245,6895.740595475449,38.35376237736146
23.0,680.0,294.89048370476496,7249.635395668829,38.624731908580024
24.0,850.0,370.9595665060703,7715.031578595749,38.96693498426158
25.0,1207.0,474.5981867307976,8367.567495141877,39.389466343039665
26.0,1563.0,615.8895580993868,9272.195701660296,39.91602028503426
27.0,1920.0,808.2310058333662,10381.402847135607,40.56915939322927
28.0,1763.0,979.9873512626668,11401.79989812209,41.106210472695835
29.0,1607.0,1097.2375093924584,12097.972712017729,41.47261721685144
30.0,1450.0,1168.96047111484,12523.827797244365,41.696751472233885
31.0,1337.0,1206.303482357725,12745.55192649899,41.8134483823679
32.0,1223.0,1218.5598984130222,12818.324396827316,41.85174968254071
33.0,1110.0,1209.9018532955615,12766.9172539424,41.82469329154864
34.0,1040.0,1187.4664208827742,12633.706873991476,41.75458256525868
35.0,970.0,1157.1205586628573,12453.528317060713,41.65975174582144
36.0,900.0,1120.1798446575942,12234.192827654473,41.54431201455499
37.0,853.0,1079.6536209503793,11993.568374392877,41.41766756546994
38.0,807.0,1038.1339027062695,11747.04504731848,41.2879184459571
39.0,760.0,995.7859173034719,11495.603883989368,41.15558099157335
40.0,710.0,952.414794676641,11238.08784339255,41.0200462333645
41.0,660.0,907.9412281126398,10974.026041918798,40.881066337852
42.0,610.0,862.6074989125156,10704.496075027522,40.7392084605408
43.0,560.0,816.4724689034716,10430.33653411436,40.59491396532335
44.0,510.0,768.8403193596081,10152.547381418199,40.44129360326397
45.0,460.0,719.3339480415223,9873.586237241247,40.273244721229666
46.0,427.0,671.2270751013668,9602.470998875488,40.10992228847921
47.0,393.0,627.2873517981277,9345.40780717046,39.95761807225594
48.0,360.0,588.4754149995315,9096.104855471447,39.8159686678815
49.0,337.0,551.3367372576182,8857.54984515842,39.68042604838547
50.0,313.0,516.3087859727603,8632.552785810432,39.552586810119564
51.0,290.0,482.7584580292788,8419.10605071124,39.42250387866105
