时间t/h,Q/(m3/s-1)
18.0,174.0
19.0,229.0
20.0,285.0
21.0,340.0
22.0,510.0
23.0,680.0
24.0,850.0
25.0,1207.0
26.0,1563.0
27.0,1920.0
28.0,1763.0
29.0,1607.0
30.0,1450.0
31.0,1337.0
32.0,1223.0
33.0,1110.0
34.0,1040.0
35.0,970.0
36.0,900.0
37.0,853.0
38.0,807.0
39.0,760.0
40.0,710.0
41.0,660.0
42.0,610.0
43.0,560.0
44.0,510.0
45.0,460.0
46.0,427.0
47.0,393.0
48.0,360.0
49.0,337.0
50.0,313.0
51.0,290.0
