时间t/h,Q/(m3/s-1)
18.0,174.0
19.0,244.0
20.0,481.0
21.0,340.0
22.0,859.0
23.0,1005.0
24.0,850.0
25.0,1216.0
26.0,1286.0
27.0,1920.0
28.0,1361.0
29.0,1370.0
30.0,1450.0
31.0,1339.0
32.0,1303.0
33.0,1110.0
34.0,1197.0
35.0,1131.0
36.0,900.0
37.0,981.0
38.0,900.0
39.0,760.0
40.0,737.0
41.0,657.0
42.0,610.0
43.0,510.0
44.0,447.0
45.0,460.0
46.0,348.0
47.0,316.0
48.0,360.0
49.0,296.0
50.0,311.0
51.0,290.0
