时间t/h,Q/(m3/s-1)
18.0,174.0
19.0,174.0
20.0,340.0
21.0,340.0
22.0,340.0
23.0,850.0
24.0,850.0
25.0,850.0
26.0,1920.0
27.0,1920.0
28.0,1920.0
29.0,1450.0
30.0,1450.0
31.0,1450.0
32.0,1110.0
33.0,1110.0
34.0,1110.0
35.0,900.0
36.0,900.0
37.0,900.0
38.0,760.0
39.0,760.0
40.0,760.0
41.0,610.0
42.0,610.0
43.0,610.0
44.0,460.0
45.0,460.0
46.0,460.0
47.0,360.0
48.0,360.0
49.0,360.0
50.0,290.0
51.0,290.0
