时间t/h,Q/(m3/s-1)
18.0,174.0
19.0,218.0
20.0,272.0
21.0,340.0
22.0,461.0
23.0,626.0
24.0,850.0
25.0,1115.0
26.0,1463.0
27.0,1920.0
28.0,1748.0
29.0,1592.0
30.0,1450.0
31.0,1326.0
32.0,1213.0
33.0,1110.0
34.0,1035.0
35.0,965.0
36.0,900.0
37.0,851.0
38.0,804.0
39.0,760.0
40.0,706.0
41.0,656.0
42.0,610.0
43.0,555.0
44.0,505.0
45.0,460.0
46.0,424.0
47.0,391.0
48.0,360.0
49.0,335.0
50.0,312.0
51.0,290.0
