时间t/h,Q/(m3/s-1)
18.0,174.0
19.0,261.0
20.0,303.0
21.0,340.0
22.0,416.0
23.0,571.0
24.0,850.0
25.0,1259.0
26.0,1670.0
27.0,1920.0
28.0,1897.0
29.0,1692.0
30.0,1450.0
31.0,1282.0
32.0,1181.0
33.0,1110.0
34.0,1038.0
35.0,965.0
36.0,900.0
37.0,847.0
38.0,803.0
39.0,760.0
40.0,713.0
41.0,663.0
42.0,610.0
43.0,557.0
44.0,506.0
45.0,460.0
46.0,421.0
47.0,388.0
48.0,360.0
49.0,335.0
50.0,312.0
51.0,290.0
